collection_id,collection_name,holder_count,eigenvector_centrality_unweighted,eigenvector_centrality_weighted,total_connections,neighbor_influence_score,avg_neighbor_centrality
0x46c66c40711a2953d1768926e53134c7ab272cd5,Blench Pass,281,0.1546306381309328,0.18222101042736935,45,6.356041695428591,0.14124537100952425
0xbc8f6824fde979848ad97a52bced2d6ca1842a68,Momo,548,0.15718048274316998,0.18136263230989333,46,6.401653751533499,0.13916638590290215
0x3db6c11474893689cdb9d7cdedc251532cadf32b,Mecha Box Mint Pass,294,0.15718048274316998,0.18123608857410656,46,6.401780295269286,0.13916913685368013
0x2b9ee0a88d69eef1cffe3ea330165e17fd976c3c,r3tardv3rs3,266,0.1546306381309328,0.1794625413902547,45,6.358800164465706,0.14130667032146013
0xa980f072bc06d67faec2b03a8ada0d6c9d0da9f8,Legacy Eggs,1716,0.15460157775584107,0.1781410447058017,45,6.349971036261914,0.14111046747248698
0x3ff5ab5eea49d25ab00b532e9e50b17d5218068c,BOBR,617,0.15718048274316998,0.17780220681804793,46,6.405214177025345,0.13924378645707272
0x78ed9a576519024357ab06d9834266a04c9634b7,TheDaks,1442,0.15191061808853196,0.17729560852454132,44,6.2867399789737215,0.14288045406758457
0x87e1f1824c9356733a25d6bed6b9c87a3b31e107,Spikes,2888,0.1488814309102078,0.1767988359803454,43,6.233766921683301,0.14497132376007676
0xe6b5427b174344fd5cb1e3d5550306b0055473c6,Chogs Mystery Chest,800,0.15372085728716461,0.17672954558829249,45,6.3109077667418845,0.14024239481648632
0x6ed438b2a8eff227e7e54b5324926941b140eea0,Blocknads,1603,0.14316372967281613,0.1758555892870912,41,6.10407779593035,0.14887994624220366
0x5a21b0f4a4f9b54e16282b6ed5ad014b3c77186f,La Mouch,2776,0.14316372967281613,0.17510112379026782,41,6.104832261427173,0.14889834783968714
0xb0a663cf4853e67221fee43322fda402e21debfc,Llamao Genesis,459,0.15428824684133796,0.17384141054760616,45,6.357497061408198,0.14127771247573773
0x7427f8f5a390cde438f229e8b4e481677ca98af5,t3mu,322,0.1545958914555825,0.17044197892397792,45,6.310713656615823,0.1402380812581294
0xed52e0d80f4e7b295df5e622b55eff22d262f6ed,r3tards,317,0.15718048274316998,0.16962180871277288,46,6.41339457513062,0.13942162119849175
0x7da93750de078bfbbab0dd30635448e9ec7fb8f0,EGGcellent,564,0.15718048274316998,0.1691015362249716,46,6.413914847618421,0.13943293146996566
0x88bbcba96a52f310497774e7fd5ebadf0ece21fb,Chewy,937,0.145871129680432,0.16879154244015127,42,6.164648117219031,0.14677733612426264
0x49d54cd9ca8c5ecadbb346dc6b4e31549f34e405,Overnads: Whitelist Pass,510,0.15718048274316998,0.1678707542247157,46,6.415145629618677,0.13945968760040603
0xf105209830ebcaef5f1b85fb3e7f44256d1af2e3,Moyaking Pass,676,0.14932602680094445,0.1671850696972989,43,6.194989769497373,0.1440695295231947
0xe047e7501ac25d3003a8da147648b088d9df0b07,LootGO Looties,350,0.15417096778514708,0.16358110310340318,46,6.347034448576538,0.13797900975166388
0xcd719c599ebc51193c5c97cbe188f43c8c4c8745,Lost Discs,206,0.1546306381309328,0.16212492713578572,45,6.376137778720175,0.14169195063822612
0x4870e911b1986c6822a171cdf91806c3d44ce235,Sealuminati Testnetooor,3551,0.13976389598757208,0.15912424357895655,40,6.04185083492484,0.151046270873121
0xff59f1e14c4f5522158a0cf029f94475ba469458,Mystery Token,495,0.15718048274316998,0.1577380079999612,46,6.4252783758434315,0.1396799646922485
0xe8f0635591190fb626f9d13c49b60626561ed145,Skrumpets,283,0.15460157775584107,0.15710519150658686,45,6.371006889461129,0.14157793087691398
0xd20ef03e432208af083c0fb4e401049f4f29949f,Lil chogstars Superstarlist Pass,899,0.1486639675776763,0.15216976766962745,43,6.10120174393041,0.14188841264954444
0x3a9454c1b4c84d1861bb1209a647c834d137b442,The10kSquad,7515,0.127175887791556,0.1510378677876875,36,5.67322769185459,0.15758965810707196
0x6aa4872ab4e0fdf078efd17acd45b6352f47c39c,Mon Beans,257,0.1422880065782972,0.14795894588798536,41,6.049891694494667,0.14755833401206506
0xd6421e9c72199e971e5a3cde09214054e1216cd2,Mondana Baddies Eye Chain,150,0.14530569994183817,0.14738600321169462,42,6.058918622355776,0.14425996719894704
0x6341c537a6fc563029d8e8caa87da37f227358f4,Molandaks Mint Pass,546,0.1538358474585674,0.14715406178001708,45,6.28847631885168,0.139743918196704
0xb981a81b45f604f82bd502a35c6dbe25dd2e8b8d,RealNads Premint Pass,894,0.14640473052402067,0.14535282410363012,42,6.154993478315209,0.14654746376940975
0x8827a10506653af9de490e160ad134e6293d3b47,Monad Nurse,109,0.1545958914555825,0.1447262864172042,45,6.3364293491225965,0.14080954109161326
0x9436689d617dd6696f94cd3d8bbdd234f30d2a52,ROARRR,2792,0.15097922692344726,0.14394772621774654,44,6.167782464774094,0.14017687419941122
0xfe5b5af24280af7ea190a41d0240fe30c46f1c40,HaHa x Mongang Pass,738,0.15446046270076919,0.1407796442000973,45,6.368009621285598,0.14151132491745774
0xc5c9425d733b9f769593bd2814b6301916f91271,Purple Frens,1007,0.15417587101209057,0.1304760285928016,45,6.375794099098515,0.14168431331330034
0xf981561d4d9acbb7259682a0e8b9b3a3d6975116,Gmonad,952,0.14879242595735576,0.13028140996765714,43,6.264986786467357,0.14569736712714784
0x006300ab0e8969c88dcf2e7c070e6c29b6081c1f,NADSA ADMISSION TICKET,99,0.1451434485652322,0.1260638932031831,42,6.10029378709213,0.14524509016886022
0xa568cabe34c8ca0d2a8671009ae0f6486a314425,Meowwnads,3227,0.12712259398448594,0.12332724696356628,36,5.709160354130592,0.15858778761473868
0x66e40f67afd710386379a6bb24d00308f81c183f,Molandaks,2670,0.11228643806688213,0.10186074830359172,32,4.938795079085766,0.1543373462214302
0x9b72654fca42e3415a0eba357f90fa34ef0b14e4,Poply x Molandaks,196,0.1503012445276863,0.09537907151321531,44,6.184843873538702,0.14056463348951595
0x84db60168be10fb2ae274ea84e24cb22ffe11ddd,Mondana Baddies: Baddie Eye,193,0.14218452599628603,0.0851917653735753,41,5.836410618632833,0.14235147850323981
0x4e88056e13de12bde065589e501033227d8188e6,The Daks Fantasies,206,0.14231263293945018,0.07751998751755741,42,5.778705633346817,0.1375882293654004
0xe06f294f288478671e19dba629ab003839705e95,BUNS,387,0.13053369291587819,0.07674625615207595,37,5.5369383320443895,0.14964698194714565
0xbb406139138401f4475ca5cf2d7152847159eb7a,SpiKeys,171,0.11816928352646482,0.07422711835769735,34,4.725856697216932,0.1389957852122627
0x26c86f2835c114571df2b6ce9ba52296cc0fa6bb,Lil Chogstars,426,0.13773164316728723,0.07279264531663739,40,5.600133735592072,0.1400033433898018
0x151cf400af08bca390b16582ed6c4f096e4f17eb,DN,110,0.13546772264330062,0.06876739106324874,39,5.531866987850548,0.1418427432782192
0x4bac889f20b9de43734f15379096c98f34154c50,LaMouch x Fantasytop Pass,167,0.1120386357021456,0.05490430287567583,32,4.4435246172682845,0.1388601442896339
0x7370a0a9e9a833bcd071b38fc25184e7afb57aff,Chog Pass,93,0.1256511987685615,0.05167791188758823,36,5.080299619001179,0.14111943386114387
0x2ace467d5c55d75cf04ae7b9c7672bc499d8e246,Monadverse Genesis Hatch,259,0.1107760915571107,0.044753677987431385,32,4.353742029285078,0.13605443841515868
0x553b586f132b6bc2aafec9661d167300262fffdb,Katana Pass,214,0.006985232443254018,0.00039181315318634373,2,0.24110109062096058,0.12055054531048029
0xa18e1c7c6e8c663c5d835fffd70ef07b482fe884,Monadverse: Chapter 10,19860,0.0,0.0,0,0.0,0.0
